val,group
4925,A
6020,A
9869,A
6153,A
4990,A
10225,A
6263,A
7180,A
6005,A
7782,A
6377,A
2668,A
3899,B
3461,B
10728,B
5803,B
3659,B
4162,B
5045,B
3546,B
3734,B
6094,B
7031,B
2311,B
3321,C
3401,C
2601,C
3936,C
2470,C
2543,C
2972,C
2492,C
7933,C
3875,C
4313,C
2305,C
3351,D
2899,D
3255,D
3236,D
3013,D
2626,D
3804,D
3102,D
4163,D
2811,D
2678,D
1905,D
3877,E
4348,E
3678,E
4365,E
3599,E
3409,E
3458,E
3546,E
3854,E
3761,E
3108,E
2213,E
5164,F
5391,F
3846,F
4854,F
3737,F
3219,F
3847,F
6835,F
3672,F
3850,F
3873,F
1960,F
3731,G
4024,G
4108,G
4859,G
3684,G
3750,G
4225,G
4338,G
3499,G
3237,G
3442,G
1946,G
3023,H
4153,H
5617,H
5099,H
4891,H
4469,H
4253,H
3789,H
3648,H
3768,H
3228,H
2149,H
